# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/hosea","hosea-10-8",69849346,"petuchah",1526,"פ"
"tanakh/hosea","hosea-11-11",69849548,"setumah",1728,"ס"
"tanakh/hosea","hosea-13-11",69849791,"petuchah",1971,"פ"
"tanakh/hosea","hosea-14-1",69849853,"petuchah",2033,"פ"
"tanakh/i-chronicles","i-chronicles-1-4",69849965,"setumah",15,"ס"
"tanakh/i-chronicles","i-chronicles-1-5",69849975,"setumah",25,"ס"
"tanakh/i-chronicles","i-chronicles-1-6",69849981,"setumah",31,"ס"
"tanakh/i-chronicles","i-chronicles-1-7",69849988,"setumah",38,"ס"
"tanakh/i-chronicles","i-chronicles-1-9",69850006,"setumah",56,"ס"
"tanakh/i-chronicles","i-chronicles-1-10",69850015,"setumah",65,"ס"
"tanakh/i-chronicles","i-chronicles-1-12",69850031,"setumah",81,"ס"
"tanakh/i-chronicles","i-chronicles-1-16",69850047,"setumah",97,"ס"
"tanakh/i-chronicles","i-chronicles-1-17",69850059,"setumah",109,"ס"
"tanakh/i-chronicles","i-chronicles-1-23",69850098,"setumah",148,"ס"
"tanakh/i-chronicles","i-chronicles-1-27",69850111,"setumah",161,"ס"
"tanakh/i-chronicles","i-chronicles-1-28",69850116,"setumah",166,"ס"
"tanakh/i-chronicles","i-chronicles-1-31",69850137,"setumah",187,"ס"
"tanakh/i-chronicles","i-chronicles-1-32",69850153,"setumah",203,"ס"
"tanakh/i-chronicles","i-chronicles-1-33",69850164,"setumah",214,"ס"
"tanakh/i-chronicles","i-chronicles-1-34",69850172,"setumah",222,"ס"
"tanakh/i-chronicles","i-chronicles-1-35",69850180,"setumah",230,"ס"
"tanakh/i-chronicles","i-chronicles-1-36",69850190,"setumah",240,"ס"
"tanakh/i-chronicles","i-chronicles-1-37",69850197,"setumah",247,"ס"
"tanakh/i-chronicles","i-chronicles-1-38",69850207,"setumah",257,"ס"
"tanakh/i-chronicles","i-chronicles-1-39",69850215,"setumah",265,"ס"
"tanakh/i-chronicles","i-chronicles-1-40",69850227,"setumah",277,"ס"
"tanakh/i-chronicles","i-chronicles-1-42",69850245,"petuchah",295,"פ"
"tanakh/i-chronicles","i-chronicles-1-54",69850357,"petuchah",407,"פ"
"tanakh/i-chronicles","i-chronicles-2-2",69850373,"petuchah",423,"פ"
"tanakh/i-chronicles","i-chronicles-2-3",69850392,"setumah",442,"ס"
"tanakh/i-chronicles","i-chronicles-2-4",69850402,"setumah",452,"ס"
"tanakh/i-chronicles","i-chronicles-2-5",69850406,"setumah",456,"ס"
"tanakh/i-chronicles","i-chronicles-2-6",69850416,"setumah",466,"ס"
"tanakh/i-chronicles","i-chronicles-2-7",69850425,"setumah",475,"ס"
"tanakh/i-chronicles","i-chronicles-2-8",69850429,"setumah",479,"ס"
"tanakh/i-chronicles","i-chronicles-2-20",69850515,"setumah",565,"ס"
"tanakh/i-chronicles","i-chronicles-2-22",69850539,"setumah",589,"ס"
"tanakh/i-chronicles","i-chronicles-2-24",69850565,"setumah",615,"ס"
"tanakh/i-chronicles","i-chronicles-2-26",69850585,"setumah",635,"ס"
"tanakh/i-chronicles","i-chronicles-2-32",69850636,"setumah",686,"ס"
"tanakh/i-chronicles","i-chronicles-2-41",69850700,"setumah",750,"ס"
"tanakh/i-chronicles","i-chronicles-2-46",69850742,"setumah",792,"ס"
"tanakh/i-chronicles","i-chronicles-2-49",69850768,"setumah",818,"ס"
"tanakh/i-chronicles","i-chronicles-2-53",69850806,"setumah",856,"ס"
"tanakh/i-chronicles","i-chronicles-3-4",69850877,"setumah",927,"ס"
"tanakh/i-chronicles","i-chronicles-3-9",69850905,"petuchah",955,"פ"
"tanakh/i-chronicles","i-chronicles-3-23",69851006,"setumah",1056,"ס"
"tanakh/i-chronicles","i-chronicles-3-24",69851018,"setumah",1068,"ס"
"tanakh/i-chronicles","i-chronicles-4-2",69851037,"setumah",1087,"ס"
"tanakh/i-chronicles","i-chronicles-4-10",69851123,"setumah",1173,"ס"
"tanakh/i-chronicles","i-chronicles-4-12",69851143,"setumah",1193,"ס"
"tanakh/i-chronicles","i-chronicles-4-14",69851163,"petuchah",1213,"פ"
"tanakh/i-chronicles","i-chronicles-4-18",69851209,"setumah",1259,"ס"
"tanakh/i-chronicles","i-chronicles-4-23",69851265,"setumah",1315,"ס"
"tanakh/i-chronicles","i-chronicles-4-27",69851303,"setumah",1353,"ס"
"tanakh/i-chronicles","i-chronicles-4-33",69851340,"setumah",1390,"סזאת"
"tanakh/i-chronicles","i-chronicles-4-43",69851445,"petuchah",1495,"פ"
"tanakh/i-chronicles","i-chronicles-5-2",69851471,"setumah",1521,"ס"
"tanakh/i-chronicles","i-chronicles-5-10",69851545,"setumah",1595,"ס"
"tanakh/i-chronicles","i-chronicles-5-13",69851570,"setumah",1620,"ס"
"tanakh/i-chronicles","i-chronicles-5-17",69851602,"petuchah",1652,"פ"
"tanakh/i-chronicles","i-chronicles-5-22",69851668,"petuchah",1718,"פ"
"tanakh/i-chronicles","i-chronicles-5-26",69851736,"petuchah",1786,"פ"
"tanakh/i-chronicles","i-chronicles-5-28",69851748,"setumah",1798,"ס"
"tanakh/i-chronicles","i-chronicles-5-41",69851838,"petuchah",1888,"פ"
