normalized,surface,occurrence_count,work_count,families,current_match,route_status,candidate_route_count,match_families,candidate_source,license_lane,display_eligible,hud_inspectable,prehud_allowed,blocker,top_works
ע״ז,ע״ז,18819,216,chasidut; halakhah,unresolved_lexical_row,no_route,0,,project_authored_rabbinic_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,brit-moshe:1222; minchat-chinukh:931; peri-tzadik:716; haamek-sheilah-on-sheiltot-drav-achai-gaon:620; drisha:581
בגמרא,בגמרא,18685,253,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:3030; arukh-hashulchan:1182; drisha:1018; prisha:607; peri-tzadik:603
דמי,דמי,18113,234,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,50,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:2308; arukh-hashulchan:2214; netivot-hamishpat-beurim-on-shulchan-arukh-choshen-mishpat:846; drisha:656; urim-vetumim-tumim:589
בחינת,בחינת,18071,30,chasidut; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,likutei-moharan:6086; ohr-penimi-on-talmud-eser-hasefirot:4011; talmud-eser-hasefirot:3012; peri-tzadik:684; meor-einayim:634
דגמ,דגם,17492,184,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,17,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:2763; machatzit-hashekel-on-orach-chayim:1067; minchat-chinukh:1047; brit-moshe:1023; drisha:795
ראיה,ראיה,17132,227,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,49,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:2000; arukh-hashulchan:1553; urim-vetumim-tumim:1104; machatzit-hashekel-on-orach-chayim:722; drisha:709
דאפ,דאף,17098,238,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,minchat-chinukh:1051; urim-vetumim-tumim:1030; arukh-hashulchan:956; eliyah-rabbah-on-shulchan-arukh-orach-chayim:762; beit-meir-on-shulchan-arukh-even-haezer:715
ית׳,ית׳,16440,62,chasidut; unknown,unresolved_lexical_row,no_route,0,,project_authored_rabbinic_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,sod-yesharim:3383; sefat-emet:2514; beit-elohim:1111; zera-kodesh:838; akeidat-yitzchak:777
קאמר,קאמר,16425,235,halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:2297; drisha:1264; ohr-hachammah-on-zohar:798; haamek-sheilah-on-sheiltot-drav-achai-gaon:590; prisha:562
שפיר,שפיר,16115,184,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,30,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,brit-moshe:1027; maasai-lamelekh-on-mishneh-torah-sacrificial-procedure:785; urim-vetumim-tumim:776; haamek-sheilah-on-sheiltot-drav-achai-gaon:745; maasai-lamelekh-on-mishneh-torah-things-forbidden-on-the-altar:713
פסק,פסק,15846,209,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,25,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:1892; arukh-hashulchan:1180; eliyah-rabbah-on-shulchan-arukh-orach-chayim:807; brit-moshe:640; peri-megadim-on-orach-chayim:592
כשר,כשר,15698,186,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,47,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:1610; arukh-hashulchan:1356; minchat-chinukh:625; peri-megadim-on-orach-chayim:560; urim-vetumim-tumim:541
הכא,הכא,15665,232,halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:1621; machatzit-hashekel-on-orach-chayim:854; ohr-hachammah-on-zohar:733; beit-meir-on-shulchan-arukh-even-haezer:686; siftei-kohen-on-shulchan-arukh-yoreh-deah:605
בפ׳,בפ׳,15658,177,halakhah; kabbalah,unresolved_lexical_row,no_route,0,,project_authored_kabbalah_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,beit-yosef:2634; ohr-hachammah-on-zohar:1635; mikdash-melekh-on-zohar:665; sefer-yereim:654; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:556
דיש,דיש,15298,131,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,22,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,urim-vetumim-tumim:1112; arukh-hashulchan:1048; minchat-chinukh:658; peri-megadim-on-orach-chayim:533; drisha:497
מיירי,מיירי,15204,137,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,machatzit-hashekel-on-orach-chayim:1158; drisha:1102; haamek-sheilah-on-sheiltot-drav-achai-gaon:923; eliyah-rabbah-on-shulchan-arukh-orach-chayim:760; netivot-hamishpat-beurim-on-shulchan-arukh-choshen-mishpat:670
הרא״ש,הרא״ש,14966,118,halakhah,unresolved_lexical_row,no_route,0,,project_authored_rabbinic_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,beer-hagolah-on-shulchan-arukh-choshen-mishpat:865; meirat-einayim-on-shulchan-arukh-choshen-mishpat:797; beer-hagolah-on-shulchan-arukh-yoreh-deah:774; beur-hagra-on-shulchan-arukh-yoreh-deah:689; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:659
י״ל,י״ל,14820,206,chasidut; halakhah; midrash,unresolved_lexical_row,no_route,0,,project_authored_rabbinic_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,degel-machaneh-ephraim:672; kessef-hakodashim-on-shulchan-arukh-choshen-mishpat:668; beur-haradal-on-pirkei-derabbi-eliezer:648; beit-shmuel:632; maasai-lamelekh-on-mishneh-torah-the-chosen-temple:609
ו׳,ו׳,14209,181,chasidut; halakhah; kabbalah; musar; unknown,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,ohr-hachammah-on-zohar:1805; peri-megadim-on-orach-chayim:1055; peri-tzadik:745; shenei-luchot-haberit:538; akeidat-yitzchak:497
בשבת,בשבת,13914,225,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,peri-tzadik:1284; sefat-emet:1155; chayyei-adam:628; biur-halacha:543; baer-hetev-on-shulchan-arukh-orach-chayim:505
