work_id,units,parsed_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"halakhah-expansion/peninei-halakhah-zemanim",216,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/piskei-challah",4,4,0,"VARIANT_A_DOUBLED",4,0,"FULLY_PARSED"
"halakhah-expansion/sansan-leyair",3,3,0,"VARIANT_A_DOUBLED",3,0,"FULLY_PARSED"
"halakhah-expansion/seder-hayom",71,0,71,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/seder-troyes",11,10,1,"VARIANT_A_DOUBLED",10,0,"PARTIAL"
"halakhah-expansion/sefer-chasidim",1172,1172,0,"VARIANT_A_DOUBLED",1172,0,"FULLY_PARSED"
"halakhah-expansion/sefer-haitim",236,236,0,"VARIANT_A_DOUBLED",237,0,"FULLY_PARSED"
"halakhah-expansion/sefer-hamachkim",1,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED"
"halakhah-expansion/sefer-hamakhria",92,92,0,"VARIANT_A_DOUBLED",92,0,"FULLY_PARSED"
"halakhah-expansion/sefer-haorah",287,0,287,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sefer-haparnas",428,428,0,"VARIANT_A_DOUBLED",428,0,"FULLY_PARSED"
"halakhah-expansion/sefer-haterumah",508,0,508,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sefer-mitzvot-katan",296,294,2,"VARIANT_A_DOUBLED",294,0,"PARTIAL"
"halakhah-expansion/sefer-yereim",439,438,1,"VARIANT_A_DOUBLED",464,0,"PARTIAL"
"halakhah-expansion/sha-ar-hamayim-haaroch",12,0,12,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sha-ar-hamayim-hakatzar",11,11,0,"VARIANT_A_DOUBLED",11,0,"FULLY_PARSED"
"halakhah-expansion/sha-arei-ephraim",10,10,0,"VARIANT_A_DOUBLED",10,0,"FULLY_PARSED"
"halakhah-expansion/sheiltot-d-rav-achai-gaon",171,171,0,"VARIANT_A_DOUBLED",171,0,"FULLY_PARSED"
"halakhah-expansion/shev-shmateta",159,0,159,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/shibbolei-haleket",476,372,104,"VARIANT_A_DOUBLED",372,0,"PARTIAL"
"halakhah-expansion/shomer-yisrael",15,15,0,"VARIANT_A_DOUBLED",15,0,"FULLY_PARSED"
"halakhah-expansion/shulchan-arukh-harav",554,0,554,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/shulchan-shel-arba",5,4,1,"VARIANT_A_DOUBLED",4,0,"PARTIAL"
"halakhah-expansion/siddur-rashi",633,633,0,"VARIANT_A_DOUBLED",634,0,"FULLY_PARSED"
"halakhah-expansion/simlah-chadashah",49,34,15,"VARIANT_A_DOUBLED",63,0,"PARTIAL"
"halakhah-expansion/tashbetz-katan",591,591,0,"VARIANT_A_DOUBLED",591,0,"FULLY_PARSED"
"halakhah-expansion/tenai-benissuin-uveget",5,0,5,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/the-sabbath-epistle",5,0,5,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/torat-habayit-haaroch",41,0,41,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/torat-hahiggayon-bahalakhah",37,0,37,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/tziporen-shamir",218,218,0,"VARIANT_A_DOUBLED",218,0,"FULLY_PARSED"
"halakhah-expansion/yosef-beseder",12,12,0,"VARIANT_A_DOUBLED",12,0,"FULLY_PARSED"
"halakhah/avodat-hakodesh",11,0,11,"",0,0,"UNPARSED_TYPED"
"halakhah/ben-ish-chai",2,0,2,"",0,0,"UNPARSED_TYPED"
"halakhah/derekh-pikudekha",54,0,54,"",0,0,"UNPARSED_TYPED"
"halakhah/ein-hatekhelet",53,0,53,"",0,0,"UNPARSED_TYPED"
"halakhah/ginzei-mitzrayim-hilkhot-sefer-torah",38,38,0,"VARIANT_A_DOUBLED",51,0,"FULLY_PARSED"
"halakhah/haagur",829,0,829,"",0,0,"UNPARSED_TYPED"
"halakhah/hahalakhah-kochah-vetafkidah",12,0,12,"",0,0,"UNPARSED_TYPED"
"halakhah/hilkhot-niddah-of-the-ramban",9,0,9,"",0,0,"UNPARSED_TYPED"
"halakhah/keset-hasofer",28,28,0,"VARIANT_A_DOUBLED",28,0,"FULLY_PARSED"
"halakhah/nehar-misrayim",3,0,3,"",0,0,"UNPARSED_TYPED"
"halakhah/od-yosef-chai-halakhot",400,0,400,"",0,0,"UNPARSED_TYPED"
"halakhah/ohr-zarua",2742,0,2742,"",0,0,"UNPARSED_TYPED"
"halakhah/piskei-recanati",589,0,589,"",0,0,"UNPARSED_TYPED"
"halakhah/ptil-tekhelet",8,0,8,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hachinukh",613,0,613,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot",631,0,631,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot-hakatzar",3,0,3,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot-of-rasag",6,0,6,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-mitzvot-gadol",622,0,622,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-puah",107,0,107,"",0,0,"UNPARSED_TYPED"
"halakhah/shabbat-haaretz",230,0,230,"",0,0,"UNPARSED_TYPED"
"halakhah/shulchan-arukh-choshen-mishpat",427,427,0,"VARIANT_A_DOUBLED",427,0,"FULLY_PARSED"
"halakhah/shulchan-arukh-even-haezer",180,178,2,"VARIANT_A_DOUBLED",178,0,"PARTIAL"
"halakhah/shulchan-arukh-introduction",1,0,1,"",0,0,"UNPARSED_TYPED"
"halakhah/shulchan-arukh-orach-chayim",697,697,0,"VARIANT_A_DOUBLED",697,0,"FULLY_PARSED"
"halakhah/shulchan-arukh-yoreh-de-ah",402,402,0,"VARIANT_A_DOUBLED",403,0,"FULLY_PARSED"
"halakhah/ta-amei-haminhagim",1407,0,1407,"",0,0,"UNPARSED_TYPED"
"halakhah/torat-haadam",19,0,19,"",0,0,"UNPARSED_TYPED"
"halakhah/torat-habayit-hakatzar",39,0,39,"",0,0,"UNPARSED_TYPED"
"halakhah/treasures-hidden-in-the-sand",8,0,8,"",0,0,"UNPARSED_TYPED"
"halakhah/tur",1708,0,1708,"",0,0,"UNPARSED_TYPED"
"hebrew_thought/derech-hashem",28,0,28,"",0,0,"UNPARSED_TYPED"
"hekhalot/hekhalot-rabbati",17,17,0,"VARIANT_B_WSR",17,0,"FULLY_PARSED"
"jewish-thought/abarbanel-on-guide-for-the-perplexed",610,0,610,"",0,0,"UNPARSED_TYPED"
"jewish-thought/adam-min-haadamah",17,0,17,"",0,0,"UNPARSED_TYPED"
"jewish-thought/akeidat-yitzchak",1728,0,1728,"",0,0,"UNPARSED_TYPED"
"jewish-thought/al-kapot-haman-ul-homilies-for-the-days-of-awe",11,0,11,"",0,0,"UNPARSED_TYPED"
"jewish-thought/beer-hagolah",78,0,78,"",0,0,"UNPARSED_TYPED"
"jewish-thought/beit-elohim",1845,0,1845,"",0,0,"UNPARSED_TYPED"
"jewish-thought/ceremony-and-celebration-introduction-to-the-holidays",40,0,40,"",0,0,"UNPARSED_TYPED"
"jewish-thought/crescas-on-guide-for-the-perplexed",70,0,70,"",0,0,"UNPARSED_TYPED"
"jewish-thought/darkah-shel-torah",17,16,1,"VARIANT_A_DOUBLED",16,0,"PARTIAL"
"jewish-thought/darkhei-moshe-amiel",433,0,433,"",0,0,"UNPARSED_TYPED"
"jewish-thought/derashot-haran",12,0,12,"",0,0,"UNPARSED_TYPED"
"jewish-thought/derekh-hashem",208,0,208,"",0,0,"UNPARSED_TYPED"
"jewish-thought/dirshuni-i",75,0,75,"",0,0,"UNPARSED_TYPED"
"jewish-thought/dirshuni-ii",76,0,76,"",0,0,"UNPARSED_TYPED"
"jewish-thought/duties-of-the-heart",451,0,451,"",0,0,"UNPARSED_TYPED"
"jewish-thought/efodi-on-guide-for-the-perplexed",151,0,151,"",0,0,"UNPARSED_TYPED"
"jewish-thought/eight-chapters",68,0,68,"",0,0,"UNPARSED_TYPED"
"jewish-thought/essay-on-fundamentals",69,69,0,"CHAPTER_SECTION",10,0,"FULLY_PARSED"
"jewish-thought/future-tense-a-vision-for-jews-and-judaism-in-the-global-culture",13,0,13,"",0,0,"UNPARSED_TYPED"
"jewish-thought/gan-naul",460,0,460,"",0,0,"UNPARSED_TYPED"
"jewish-thought/guide-for-the-perplexed",184,0,184,"",0,0,"UNPARSED_TYPED"
"jewish-thought/haemunot-vehadeot",121,0,121,"",0,0,"UNPARSED_TYPED"
"jewish-thought/hamiddot-lecheker-hahalakhah",922,0,922,"",0,0,"UNPARSED_TYPED"
"jewish-thought/horeb",719,0,719,"",0,0,"UNPARSED_TYPED"
"jewish-thought/imrei-binah",1183,0,1183,"",0,0,"UNPARSED_TYPED"
"jewish-thought/justice-in-the-jewish-state-according-to-the-torah",32,32,0,"VARIANT_A_DOUBLED",32,0,"FULLY_PARSED"
"jewish-thought/kuzari",350,350,0,"CHAPTER_SECTION",5,0,"FULLY_PARSED"
"jewish-thought/letter-to-the-ten-lost-tribes-of-israel",21,0,21,"",0,0,"UNPARSED_TYPED"
"jewish-thought/ma-amar-al-yishmael",1,0,1,"",0,0,"UNPARSED_TYPED"
"jewish-thought/marpeh-lanefesh",414,0,414,"",0,0,"UNPARSED_TYPED"
"jewish-thought/matteh-dan",1089,0,1089,"",0,0,"UNPARSED_TYPED"
"jewish-thought/megillat-eifah",1,0,1,"",0,0,"UNPARSED_TYPED"
"jewish-thought/minchat-kenaot",566,0,566,"",0,0,"UNPARSED_TYPED"
"jewish-thought/morality-restoring-the-common-good-in-divided-times",26,0,26,"",0,0,"UNPARSED_TYPED"
"jewish-thought/moreh-nevukhei-hazeman",922,0,922,"",0,0,"UNPARSED_TYPED"
"jewish-thought/narboni-on-guide-for-the-perplexed",182,0,182,"",0,0,"UNPARSED_TYPED"
"jewish-thought/nineteen-letters",641,641,0,"CHAPTER_SECTION",19,0,"FULLY_PARSED"
"jewish-thought/nishmat-chayyim",451,0,451,"",0,0,"UNPARSED_TYPED"
"jewish-thought/not-in-god-s-name-confronting-religious-violence",19,0,19,"",0,0,"UNPARSED_TYPED"
"jewish-thought/ohr-hashem",830,0,830,"",0,0,"UNPARSED_TYPED"
"jewish-thought/panekha-avakesh",24,22,2,"VARIANT_A_DOUBLED",22,0,"PARTIAL"
"jewish-thought/parashat-derakhim",26,26,0,"VARIANT_A_DOUBLED",26,0,"FULLY_PARSED"
"jewish-thought/pat-lechem",835,0,835,"",0,0,"UNPARSED_TYPED"
"jewish-thought/penei-sheviit-nekabelah",9,0,9,"",0,0,"UNPARSED_TYPED"
