work_id,chunks,candidate_claim_links,unique_claims
targum-jonathan-on-numbers,7,2219,1305
targum-jonathan-on-obadiah,1,146,138
targum-jonathan-on-zechariah,2,847,615
targum-jonathan-on-zephaniah,1,339,267
targum-of-i-chronicles,6,2226,1337
targum-of-ii-chronicles,6,1849,1064
the-beginning-of-wisdom,2,1799,1111
the-book-of-maccabees-i,5,4661,2427
the-book-of-maccabees-ii,4,4413,2364
the-book-of-susanna,1,876,604
the-testaments-of-the-twelve-patriarchs,6,5300,2570
the-wars-of-god,18,12752,4733
the-wars-of-the-lord,14,10062,3655
the-wisdom-of-solomon,4,4455,2271
tiferet-shlomo,35,19094,5879
tomer-devorah,4,5056,2354
torat-haolah,13,10867,4212
tosefta-arakhin,2,1787,1136
tosefta-avodah-zarah,3,2105,1345
tosefta-bava-batra,3,2342,1446
tosefta-bava-kamma,4,3096,1781
tosefta-bava-metzia,4,2969,1723
tosefta-beitzah,2,1318,876
tosefta-bekhorot,2,1652,1109
tosefta-berakhot,3,2905,1678
tosefta-bikkurim,1,693,544
tosefta-chagigah,2,1664,1030
tosefta-challah,1,690,509
tosefta-chullin,3,2177,1278
tosefta-demai,2,2013,1199
tosefta-eduyot,1,1258,872
tosefta-eruvin,2,2117,1248
tosefta-gittin,2,1524,996
tosefta-horayot,1,1077,762
tosefta-kelim-batra,2,1346,903
tosefta-kelim-kamma,2,1530,978
tosefta-kelim-metzia,2,1758,1147
tosefta-keritot,1,1272,853
tosefta-ketubot,3,2129,1345
tosefta-kiddushin,2,1718,1044
tosefta-kilayim,2,1280,907
tosefta-maaser-sheni,2,1743,1111
tosefta-maasrot,1,941,667
tosefta-makhshirin,1,769,564
tosefta-makkot,2,1315,843
tosefta-megillah,2,1480,986
tosefta-meilah,1,869,614
tosefta-menachot,3,2649,1533
tosefta-mikvaot,2,1618,1030
tosefta-moed-katan,1,669,505
tosefta-nazir,2,1430,920
tosefta-nedarim,2,1401,938
tosefta-negaim,2,2051,1156
tosefta-niddah,2,1884,1185
tosefta-oholot,3,2283,1346
